1,44.82,29,47,67,24,19,44,43,55,33,71,81,78,78,74
-1,45.2,29,42,34,24,56,30,16,55,100,33,88,59,79,78
-1,45.02,0,54,0,0,45,29,24,36,64,69,91,73,77,73
-1,45.14,28,54,27,39,24,58,32,36,0,56,84,90,78,72
-1,44.68,0,41,25,24,31,59,40,91,65,80,82,53,80,78
1,44.17,0,42,17,16,100,30,24,37,67,43,80,41,79,89
1,44.08,0,51,27,15,30,38,26,71,32,64,91,54,83,78
-1,44.37,28,59,16,15,90,38,55,36,64,60,91,62,82,77
-1,43.96,27,70,39,22,35,56,46,0,31,36,84,50,79,74
-1,43.17,0,69,26,29,57,54,22,34,0,61,85,57,80,76
1,42.72,27,48,16,23,18,28,57,53,42,32,84,62,83,79
1,43.0,26,63,15,29,56,44,29,0,40,51,88,56,82,75
-1,43.01,51,100,20,29,56,27,29,66,30,47,85,44,82,74
-1,42.87,25,37,23,21,42,27,39,100,30,43,89,72,79,73
1,41.92,26,53,23,15,39,27,44,33,45,56,84,64,79,77
-1,42.36,27,66,24,23,35,28,23,0,31,54,86,59,82,84
1,42.1,51,54,30,43,50,79,24,65,29,51,88,58,81,74
-1,42.15,26,71,15,15,68,36,30,84,30,43,79,71,81,76
-1,42.12,26,76,46,22,57,41,22,34,40,69,85,64,81,77
-1,41.56,27,68,16,30,23,28,31,35,31,54,86,69,84,82
1,40.85,35,79,15,58,57,27,35,34,45,35,92,89,86,77
-1,41.23,26,59,22,43,50,44,24,98,29,47,82,77,81,73
1,40.69,25,87,15,14,55,26,24,33,29,64,80,58,79,70
1,40.79,26,78,23,15,45,27,15,34,45,52,84,78,82,74
1,40.95,27,57,16,37,52,55,30,69,46,53,90,78,85,87
-1,42.04,25,83,29,0,73,0,33,32,0,58,85,80,86,74
-1,41.95,25,58,29,21,43,52,47,64,29,25,83,75,82,72
1,41.62,100,49,22,35,27,26,38,32,29,42,80,81,83,71
1,42.16,78,58,15,36,67,40,24,33,40,34,77,71,82,70
-1,42.25,0,67,31,29,46,69,30,34,30,35,82,90,84,74
-1,42.01,0,64,15,56,33,35,43,32,88,38,83,55,84,71
1,41.71,25,73,15,0,60,26,43,64,39,42,82,57,80,68
1,42.25,0,64,15,21,44,44,22,65,29,29,89,62,80,68
-1,42.11,51,69,15,28,39,26,43,33,44,80,83,72,83,67
1,41.74,26,61,15,29,34,68,40,84,0,74,85,49,85,73
1,42.06,25,68,29,21,38,34,95,0,29,33,79,66,81,72
-1,42.48,25,70,22,34,48,25,33,32,28,33,87,58,79,69
1,42.34,74,80,15,28,40,0,33,0,0,66,81,75,77,66
1,42.69,0,74,25,21,82,0,57,48,29,46,78,55,79,67
-1,43.0,0,53,0,15,34,54,49,0,30,60,80,54,80,70
1,43.15,42,71,15,35,66,35,29,98,29,67,100,71,83,72
-1,43.2,50,96,15,14,76,39,100,81,39,71,89,74,81,68
-1,41.05,26,95,0,29,50,26,29,83,30,43,91,56,82,69
1,40.74,25,73,15,21,38,52,33,32,0,58,79,64,81,69
-1,41.17,39,58,25,29,28,54,30,67,45,43,75,66,84,72
-1,40.73,50,56,15,21,54,26,49,80,29,82,88,77,83,71
1,40.85,24,64,14,48,85,42,42,32,76,37,90,74,79,68
-1,40.52,62,92,29,55,24,25,42,65,29,41,84,44,80,65
1,40.01,0,95,29,49,59,52,14,48,58,41,78,54,79,67
1,40.41,26,58,25,44,62,45,59,50,40,52,86,69,82,74
-1,40.79,25,67,22,21,54,26,33,32,28,41,82,44,82,69
-1,40.42,0,82,15,48,48,26,51,0,29,82,79,47,81,67
-1,40.0,25,63,15,14,48,52,35,63,0,66,79,49,78,66
1,40.09,0,54,15,57,33,53,71,33,87,30,85,50,86,70
-1,40.25,26,59,15,52,68,0,20,34,61,79,78,69,86,74
-1,39.43,25,62,15,50,55,26,29,33,30,47,83,79,82,68
-1,39.24,26,73,15,43,28,40,36,66,0,64,85,92,84,72
-1,39.05,50,47,44,28,55,39,38,65,29,69,84,64,81,74
-1,38.86,49,85,0,28,38,26,28,64,43,66,83,63,80,75
1,38.45,26,70,30,100,56,40,22,66,30,34,81,68,89,81
1,39.64,0,98,29,41,80,25,32,47,47,45,95,60,87,79
1,39.62,49,78,21,14,58,100,35,94,42,52,88,78,82,74
-1,41.5,22,57,20,13,88,47,32,43,43,19,75,68,70,60
1,40.52,25,83,15,14,49,26,36,32,58,56,87,61,80,92
-1,40.38,52,41,9,35,32,0,31,57,0,33,76,56,87,27
-1,40.11,65,85,18,50,36,64,81,28,20,53,74,64,88,20
1,39.29,98,100,9,25,21,43,36,55,19,35,82,59,88,20
1,39.8,98,43,22,66,33,36,47,0,49,71,83,71,87,20
1,40.0,48,74,26,17,28,43,45,41,20,34,80,62,87,20
-1,40.31,51,37,9,35,35,45,19,29,51,65,84,56,89,25
-1,39.85,48,43,22,25,48,21,35,54,29,44,76,42,85,29
-1,39.42,48,54,9,16,63,21,35,41,19,75,78,59,84,29
1,38.04,49,54,9,25,56,22,53,27,29,58,75,63,85,34
