1,396.71,41,38,16,17,0,59,0,48,56,31,73,41,42,29
1,397.33,50,42,19,20,26,38,25,0,63,32,88,38,0,100
1,398.47,57,46,17,16,28,70,0,38,49,28,67,38,44,69
-1,401.0,45,34,17,15,25,72,24,0,38,45,60,37,0,24
-1,396.97,40,36,16,15,25,80,28,0,56,39,91,38,55,37
-1,393.76,40,33,16,15,56,58,37,40,48,37,81,39,84,43
1,389.0,31,33,13,13,61,64,0,35,45,40,79,36,40,41
1,396.02,35,30,18,18,71,66,0,35,37,38,99,40,46,69
1,397.0,41,31,12,14,41,63,23,34,56,47,77,40,0,23
1,403.75,38,30,14,15,34,61,45,36,71,70,87,43,50,46
1,413.44,39,28,18,15,56,58,23,46,60,77,78,45,0,41
1,420.0,39,32,19,18,40,86,0,65,61,69,90,42,37,22
-1,422.46,68,60,17,14,67,89,30,59,70,63,85,43,0,22
-1,415.25,39,35,17,14,66,87,0,59,83,65,82,45,38,0
-1,415.81,36,32,18,15,69,86,22,49,57,76,92,45,75,26
-1,414.25,40,33,16,14,35,78,31,68,59,79,88,43,52,23
1,408.25,48,35,24,21,68,81,25,0,50,71,56,40,63,22
1,431.23,92,89,31,22,68,72,0,33,100,64,85,43,0,26
-1,437.55,77,70,23,19,93,67,23,33,60,66,99,43,0,26
-1,434.83,71,50,23,19,62,61,23,59,65,68,53,46,40,54
1,423.39,57,38,22,20,68,69,30,33,57,65,58,41,55,23
-1,424.32,61,48,25,18,100,69,43,0,45,59,81,39,0,45
-1,423.66,70,61,16,17,92,70,22,32,62,62,85,40,0,22
-1,414.9,87,77,18,19,34,66,22,33,81,75,83,41,38,23
-1,413.06,86,71,22,17,35,59,23,96,64,79,80,44,39,42
-1,409.48,53,46,16,16,57,67,21,32,81,55,72,40,37,75
-1,402.76,49,40,22,16,38,67,21,32,68,62,81,38,48,37
1,398.3,48,42,22,19,45,64,44,0,58,60,69,43,42,59
1,404.0,57,44,35,33,50,62,0,0,70,69,93,43,0,23
1,409.18,49,46,27,27,52,57,26,89,58,80,79,43,44,35
1,412.73,45,34,25,19,49,100,0,36,81,59,74,38,48,38
-1,419.5,44,33,34,26,30,80,21,54,73,62,80,38,37,29
-1,419.81,40,34,36,33,41,77,29,32,47,62,78,43,37,50
1,418.0,43,34,32,30,33,77,25,32,82,59,87,41,49,56
1,421.36,43,31,33,28,40,75,0,100,52,80,65,44,38,52
1,423.03,37,31,24,22,49,96,21,32,63,66,67,39,48,38
-1,433.09,40,31,32,26,48,92,21,0,41,67,85,44,53,75
-1,427.95,40,33,30,25,40,87,32,57,36,49,54,40,40,0
-1,425.9,40,32,26,23,65,73,33,37,52,60,76,38,55,44
1,426.08,33,28,23,23,42,62,22,0,35,82,66,40,0,45
1,433.72,40,34,20,16,33,76,22,37,81,66,63,37,0,44
-1,437.74,67,54,25,22,33,71,57,46,65,61,74,50,55,29
-1,423.22,54,46,29,23,25,69,0,32,72,75,100,63,0,0
-1,414.11,47,40,28,23,34,66,29,32,73,62,92,57,37,0
-1,411.15,50,38,25,21,58,62,26,44,76,70,89,52,38,52
-1,401.05,42,33,24,22,25,70,21,31,67,63,69,47,41,37
-1,395.7,40,36,33,29,38,68,21,0,59,65,88,43,82,31
1,394.39,42,33,30,24,22,66,24,46,67,60,81,46,40,43
1,403.79,42,32,26,22,60,61,21,36,83,72,68,45,48,24
1,405.53,42,31,29,24,53,52,67,56,65,76,82,47,0,23
-1,416.44,51,38,33,32,33,69,31,0,64,68,84,43,0,24
-1,410.51,100,100,35,30,30,65,36,41,59,67,89,56,41,22
-1,387.24,95,98,42,32,66,66,0,83,95,67,90,49,36,32
-1,369.39,67,61,80,94,26,64,24,47,76,66,71,46,0,0
