1,768.46,38,43,36,79,90,21,54,28,16,100,77,32,23,22
-1,771.9,49,51,41,53,90,26,40,9,18,76,74,37,27,20
-1,768.62,52,55,49,39,87,16,54,6,16,59,72,23,24,24
1,764.41,54,46,34,66,83,24,39,30,15,49,71,28,25,27
1,764.0,51,43,36,0,92,11,20,14,14,40,70,37,25,26
-1,761.9,34,39,31,40,93,16,53,17,15,33,69,29,19,24
1,757.5,32,34,33,51,89,12,28,7,13,29,69,31,21,22
-1,763.31,42,38,33,65,91,20,38,23,18,36,70,29,23,21
-1,763.0,49,41,31,54,90,16,35,9,14,38,73,33,22,18
1,756.0,44,38,31,53,93,14,34,22,14,34,78,38,24,17
1,760.05,32,37,28,76,90,12,26,21,14,41,74,41,24,21
1,768.72,40,40,34,36,87,18,44,35,17,28,67,36,22,22
-1,771.05,77,70,60,67,91,11,30,17,14,40,69,44,23,23
1,766.6,47,41,36,39,94,18,25,32,15,46,71,28,23,23
-1,770.9,50,38,32,72,95,19,25,17,14,41,76,42,28,16
-1,774.11,53,40,33,42,93,24,46,13,14,50,76,39,24,17
1,774.04,39,49,35,40,95,22,47,27,21,64,72,61,34,27
-1,789.53,100,90,91,0,95,25,45,28,20,58,74,54,35,25
1,783.89,79,79,70,48,92,18,50,15,18,51,78,39,32,19
-1,779.36,75,68,53,55,91,26,45,20,18,47,76,52,34,22
1,757.35,60,56,40,0,88,21,49,24,19,39,73,41,28,20
-1,768.77,68,63,49,40,88,22,49,13,19,44,71,42,27,24
-1,762.2,71,73,60,39,90,19,22,17,16,49,71,39,26,20
1,762.0,85,88,81,36,87,14,39,13,19,42,77,39,24,20
1,773.28,75,89,73,0,85,20,41,22,17,55,77,45,25,22
-1,779.97,46,54,45,0,86,15,49,21,15,38,68,31,24,15
1,776.0,47,48,42,51,86,19,33,26,15,36,66,29,24,23
1,783.25,53,48,42,53,86,21,35,31,19,54,70,38,26,29
1,794.27,49,55,45,61,86,36,67,28,33,69,76,43,28,22
1,803.13,46,53,47,0,87,34,32,37,27,68,74,59,39,34
