-1,72.89,12,17,38,91,82,15,35,78,4,8,17,12,79,38
-1,72.96,2,4,5,18,8,9,69,43,2,2,5,13,49,0
-1,72.63,1,2,4,9,3,6,33,34,0,1,0,7,28,0
1,72.41,1,1,6,18,10,6,33,23,0,1,5,6,25,0
-1,72.75,1,1,45,52,54,8,68,42,1,1,6,14,44,0
1,72.03,15,18,39,100,100,19,0,65,13,13,24,12,68,0
1,72.25,2,2,7,19,4,9,100,30,2,2,6,13,33,0
1,72.7,1,1,4,9,11,7,0,15,1,1,4,7,20,0
0,72.7,0,1,7,18,15,8,0,15,1,1,3,7,25,0
1,72.52,1,1,33,48,45,9,31,30,1,1,6,14,41,0
-1,72.95,21,22,32,86,76,21,0,56,26,18,25,15,51,0
1,72.95,1,2,8,22,4,12,30,19,4,1,6,11,42,0
1,73.78,1,1,6,12,6,9,31,12,1,1,3,7,18,0
-1,74.37,1,1,9,7,4,9,62,12,1,0,6,7,12,0
-1,74.28,1,1,10,10,8,10,0,32,0,1,6,15,27,0
-1,74.08,2,2,18,7,6,12,32,13,1,2,6,17,27,0
-1,73.95,1,1,8,6,6,8,30,13,0,1,3,7,12,0
1,73.47,1,1,13,8,6,9,62,5,1,1,0,7,10,0
-1,73.54,21,21,28,28,22,20,0,18,2,14,25,8,9,34
-1,72.81,28,32,20,6,20,25,0,13,3,19,40,19,8,0
1,72.07,1,2,10,3,5,10,31,8,1,1,3,7,2,0
-1,72.64,1,1,8,2,3,9,31,8,0,1,3,6,3,0
-1,71.87,1,0,13,2,6,8,92,5,1,1,6,6,6,0
1,71.83,1,1,19,3,9,10,31,5,0,1,4,7,3,0
-1,72.02,44,41,26,6,13,27,0,11,2,25,48,21,4,0
1,71.67,1,2,12,4,6,9,30,5,0,1,10,6,2,0
-1,72.54,1,1,9,3,3,8,45,8,0,1,5,5,5,0
1,72.92,1,1,12,2,6,8,30,9,0,1,4,5,2,0
-1,73.69,1,1,25,5,13,10,31,0,1,1,7,6,3,0
-1,73.36,51,50,25,5,15,27,32,20,2,30,48,25,3,0
-1,72.31,0,1,15,0,9,17,0,10,0,3,5,8,7,0
1,71.87,1,1,19,0,5,12,0,8,0,1,3,6,2,0
1,72.44,0,1,13,2,8,11,30,8,0,1,3,8,3,33
-1,72.42,1,1,31,5,15,15,30,5,0,2,3,9,4,0
1,71.85,1,2,32,4,28,26,32,0,1,4,4,10,3,0
-1,71.62,0,1,11,2,3,9,60,8,0,1,0,9,1,0
-1,71.7,0,1,6,0,0,7,30,0,0,1,0,6,5,0
1,71.72,1,1,6,0,0,6,30,5,0,1,0,3,3,33
1,72.06,1,0,6,0,3,6,30,7,0,1,0,3,2,0
-1,71.67,0,0,6,2,9,6,0,0,0,1,3,3,1,0
1,71.64,0,1,7,3,3,10,30,10,0,1,3,3,1,0
-1,71.59,1,1,5,2,3,10,0,5,0,1,3,3,2,0
1,71.02,0,1,7,2,0,11,31,5,0,1,3,3,3,0
-1,71.0,0,1,6,0,5,10,30,5,0,1,0,3,2,0
-1,71.14,1,0,5,0,6,9,0,11,0,1,6,3,3,0
-1,70.98,1,1,6,0,3,10,30,10,0,1,0,2,2,0
-1,71.12,1,0,5,2,3,9,0,13,0,1,3,3,4,0
1,70.51,0,1,9,2,3,10,0,5,0,1,3,2,2,0
-1,70.32,1,0,7,0,3,12,0,8,0,1,0,2,3,0
1,69.17,1,0,7,2,5,5,0,5,0,1,3,2,2,0
1,69.73,0,1,6,0,3,5,0,0,0,0,0,2,5,0
-1,70.0,0,0,7,0,3,5,30,10,0,0,0,2,1,0
1,69.24,0,0,4,0,0,6,0,8,0,0,0,2,2,0
1,70.17,1,1,3,2,3,7,0,5,0,0,3,2,2,100
-1,70.48,0,1,3,0,0,4,0,0,0,0,0,3,2,70
1,68.86,1,1,6,0,4,4,0,10,0,0,3,2,2,0
-1,69.18,1,1,4,2,3,4,0,5,0,0,0,2,2,0
0,68.39,0,0,5,0,0,4,30,5,0,0,0,2,2,0
1,68.72,1,1,3,0,0,4,30,0,0,1,0,2,2,0
-1,69.0,1,0,3,0,3,3,31,0,0,0,0,3,1,0
1,69.48,1,1,6,2,0,4,29,5,0,0,0,3,1,0
1,69.59,1,0,6,2,3,4,0,5,0,0,0,2,0,0
1,70.44,0,0,3,2,3,3,27,0,0,1,0,2,1,0
1,72.22,0,1,6,0,0,4,0,0,0,0,0,2,2,0
-1,72.83,8,20,9,29,0,26,0,3,0,6,0,27,1,0
