-1,113.2,63,72,34,21,46,49,57,0,35,0,14,30,41,30
1,113.0,99,82,34,16,29,66,0,25,24,0,100,24,31,59
-1,113.1,88,82,0,15,57,48,37,61,35,76,42,40,59,29
-1,113.09,89,79,0,16,48,84,0,33,23,76,42,69,0,58
-1,112.74,84,76,0,16,19,33,0,50,54,39,28,47,0,88
1,112.21,71,80,34,16,33,62,0,38,40,39,43,53,31,30
1,112.73,87,100,49,15,47,24,36,36,23,0,41,34,0,57
1,113.94,100,91,33,46,44,48,36,49,46,38,28,34,30,29
-1,115.47,92,82,47,15,24,54,0,24,37,73,53,39,0,27
1,114.24,87,80,47,29,72,68,0,35,33,36,52,24,28,27
1,115.17,67,75,32,15,46,47,36,48,45,37,48,28,29,0
-1,115.08,89,94,30,14,29,52,68,23,28,35,45,48,28,27
1,114.98,88,84,0,21,61,33,0,23,57,35,71,37,28,40
1,114.93,80,84,60,29,52,22,34,67,53,0,13,63,0,27
1,114.75,86,90,31,14,36,23,34,38,64,35,39,43,28,40
1,115.5,66,74,32,15,55,31,71,47,34,37,40,100,0,56
-1,115.83,72,78,60,28,35,44,0,22,42,0,25,32,27,39
-1,115.37,90,87,0,29,35,53,69,23,32,0,33,70,56,27
-1,114.43,66,80,62,22,42,53,35,46,54,36,65,32,42,27
-1,111.71,54,77,48,25,43,54,36,24,52,55,47,25,0,28
1,110.22,81,85,62,15,45,45,35,39,36,60,39,43,28,36
-1,111.58,84,78,45,29,58,22,67,37,32,52,19,53,27,0
-1,110.75,77,78,45,36,17,44,68,34,32,35,64,37,0,53
1,109.64,72,83,61,24,35,90,34,57,54,53,45,59,42,27
-1,110.33,63,74,31,22,27,35,0,47,55,0,33,44,28,27
-1,110.61,72,82,30,23,28,72,33,22,41,34,38,41,27,26
-1,111.18,77,87,29,35,17,50,33,44,41,34,19,36,27,52
1,111.49,75,83,60,23,34,22,33,22,28,34,25,23,0,26
1,111.98,77,86,61,22,59,37,34,34,64,71,39,53,0,27
1,110.51,55,87,93,15,36,34,0,23,22,36,20,27,28,54
1,112.45,70,86,49,21,60,36,100,22,42,52,31,36,54,52
1,113.75,72,86,44,21,57,43,33,22,41,34,37,36,0,26
1,115.68,76,84,30,0,52,58,0,100,21,34,57,42,0,78
1,120.56,67,81,60,28,41,33,33,34,0,35,25,58,100,0
1,121.78,51,77,31,22,36,23,35,23,54,36,33,32,28,0
-1,121.59,47,81,59,28,51,32,0,22,52,68,31,31,53,26
-1,121.18,75,82,58,28,23,64,33,36,61,0,25,46,53,43
-1,118.49,81,80,44,28,25,32,33,44,41,0,12,15,27,51
1,118.21,79,82,0,28,34,44,50,0,35,0,13,47,27,78
-1,118.52,52,73,51,0,53,22,46,31,32,35,19,48,28,27
1,116.38,73,83,30,14,34,44,50,22,31,34,75,31,27,39
-1,117.38,81,81,30,14,57,22,33,44,62,34,38,42,54,26
1,117.41,79,78,30,21,52,52,0,22,21,0,26,37,28,40
1,117.08,69,77,30,14,34,43,0,30,62,34,31,23,0,39
-1,118.46,46,70,31,15,24,67,35,46,29,36,58,16,0,27
-1,118.25,80,83,44,21,40,54,33,44,41,0,43,21,0,52
-1,117.7,82,78,29,27,28,28,0,36,20,0,43,23,0,51
1,116.71,67,82,58,0,23,64,0,73,27,34,37,72,27,26
-1,116.6,80,81,29,28,40,22,33,33,62,45,31,26,27,26
-1,115.95,49,73,31,22,44,45,69,57,72,0,39,32,28,27
-1,116.02,85,95,29,28,34,32,0,22,27,51,49,23,0,34
-1,115.54,87,92,58,35,56,42,32,51,41,100,37,36,39,26
1,114.79,78,86,44,21,51,0,33,43,55,68,31,41,40,52
-1,115.65,75,89,30,42,46,44,34,22,77,34,32,63,0,39
